ds,station,demand
2025-09-01,Nairobi Central,79344.53
2025-09-02,Nairobi Central,75471.42
2025-09-03,Nairobi Central,80628.44
2025-09-04,Nairobi Central,81177.48
2025-09-05,Nairobi Central,82452.14
2025-09-06,Nairobi Central,84324.28
2025-09-07,Nairobi Central,88447.13
2025-09-08,Nairobi Central,77573.55
2025-09-09,Nairobi Central,78442.29
2025-09-10,Nairobi Central,76041.26
2025-09-11,Nairobi Central,81039.04
2025-09-12,Nairobi Central,90355.76
2025-09-13,Nairobi Central,88316.24
2025-09-14,Nairobi Central,91383.9
2025-09-15,Nairobi Central,79896.26
2025-09-16,Nairobi Central,76088.49
2025-09-17,Nairobi Central,79639.7
2025-09-18,Nairobi Central,75831.6
2025-09-19,Nairobi Central,90739.64
2025-09-20,Nairobi Central,88083.48
2025-09-21,Nairobi Central,87713.48
2025-09-22,Nairobi Central,76704.47
2025-09-23,Nairobi Central,82207.17
2025-09-24,Nairobi Central,78262.98
2025-09-25,Nairobi Central,77497.26
2025-09-26,Nairobi Central,87340.59
2025-09-27,Nairobi Central,89912.73
2025-09-28,Nairobi Central,89458.17
2025-09-29,Nairobi Central,80021.44
2025-09-30,Nairobi Central,80101.67
2025-10-01,Nairobi Central,85058.06
2025-10-02,Nairobi Central,77749.91
2025-10-03,Nairobi Central,87076.46
2025-10-04,Nairobi Central,86240.45
2025-10-05,Nairobi Central,90391.6
2025-10-06,Nairobi Central,82303.55
2025-10-07,Nairobi Central,78759.52
2025-10-08,Nairobi Central,76704.69
2025-10-09,Nairobi Central,76787.54
2025-10-10,Nairobi Central,90674.51
2025-10-11,Nairobi Central,90981.18
2025-10-12,Nairobi Central,90445.76
2025-10-13,Nairobi Central,77406.71
2025-10-14,Nairobi Central,80034.96
2025-10-15,Nairobi Central,79746.37
2025-10-16,Nairobi Central,80085.16
2025-10-17,Nairobi Central,91611.11
2025-10-18,Nairobi Central,89792.42
2025-10-19,Nairobi Central,91151.84
2025-10-20,Nairobi Central,90640.3
2025-10-21,Nairobi Central,80528.46
2025-10-22,Nairobi Central,81565.03
2025-10-23,Nairobi Central,75602.43
2025-10-24,Nairobi Central,88531.49
2025-10-25,Nairobi Central,88151.56
2025-10-26,Nairobi Central,87721.33
2025-10-27,Nairobi Central,79224.92
2025-10-28,Nairobi Central,84379.75
2025-10-29,Nairobi Central,77638.68
2025-10-30,Nairobi Central,82979.8
2025-10-31,Nairobi Central,85004.32
2025-11-01,Nairobi Central,88947.26
2025-11-02,Nairobi Central,90442.13
2025-11-03,Nairobi Central,82124.29
2025-11-04,Nairobi Central,82547.77
2025-11-05,Nairobi Central,82848.64
2025-11-06,Nairobi Central,79624.71
2025-11-07,Nairobi Central,88963.57
2025-11-08,Nairobi Central,92833.07
2025-11-09,Nairobi Central,89878.95
2025-11-10,Nairobi Central,77224.56
2025-11-11,Nairobi Central,77704.13
2025-11-12,Nairobi Central,78390.25
2025-11-13,Nairobi Central,82541.16
2025-11-14,Nairobi Central,91191.38
2025-11-15,Nairobi Central,92842.42
2025-11-16,Nairobi Central,89696.72
2025-11-17,Nairobi Central,81857.94
2025-11-18,Nairobi Central,83277.92
2025-11-19,Nairobi Central,80660.9
2025-11-20,Nairobi Central,82943.63
2025-11-21,Nairobi Central,89398.77
2025-11-22,Nairobi Central,90337.19
2025-11-23,Nairobi Central,90361.73
2025-11-24,Nairobi Central,78496.1
2025-11-25,Nairobi Central,83422.23
2025-11-26,Nairobi Central,80748.12
2025-11-27,Nairobi Central,82216.85
2025-11-28,Nairobi Central,93246.86
2025-11-29,Nairobi Central,93230.35
2025-11-30,Nairobi Central,93943.24
2025-12-01,Nairobi Central,82226.43
2025-12-02,Nairobi Central,81374.63
2025-12-03,Nairobi Central,82448.32
2025-12-04,Nairobi Central,77903.06
2025-12-05,Nairobi Central,88280.05
2025-12-06,Nairobi Central,88723.98
2025-12-07,Nairobi Central,89747.36
2025-12-08,Nairobi Central,84257.28
