ds,y
2025-09-01,330602.2
2025-09-02,314464.25
2025-09-03,335951.85
2025-09-04,338239.52
2025-09-05,343550.6
2025-09-06,351351.15
2025-09-07,368529.71
2025-09-08,323223.11
2025-09-09,326842.89
2025-09-10,316838.59
2025-09-11,337662.66
2025-09-12,376482.33
2025-09-13,367984.35
2025-09-14,380766.25
2025-09-15,332901.1
2025-09-16,317035.39
2025-09-17,331832.1
2025-09-18,315965.01
2025-09-19,378081.85
2025-09-20,367014.52
2025-09-21,365472.82
2025-09-22,319601.94
2025-09-23,342529.89
2025-09-24,326095.74
2025-09-25,322905.27
2025-09-26,363919.13
2025-09-27,374636.39
2025-09-28,372742.39
2025-09-29,333422.66
2025-09-30,333756.97
2025-10-01,354408.57
2025-10-02,323957.94
2025-10-03,362818.57
2025-10-04,359335.21
2025-10-05,376631.66
2025-10-06,342931.44
2025-10-07,328164.68
2025-10-08,319602.86
2025-10-09,319948.07
2025-10-10,377810.45
2025-10-11,379088.27
2025-10-12,376857.32
2025-10-13,322527.97
2025-10-14,333478.98
2025-10-15,332276.55
2025-10-16,333688.18
2025-10-17,381712.94
2025-10-18,374135.1
2025-10-19,379799.32
2025-10-20,377667.93
2025-10-21,335535.25
2025-10-22,339854.28
2025-10-23,315010.11
2025-10-24,368881.21
2025-10-25,367298.16
2025-10-26,365505.54
2025-10-27,330103.84
2025-10-28,351582.31
2025-10-29,323494.48
2025-10-30,345749.17
2025-10-31,354184.65
2025-11-01,370613.59
2025-11-02,376842.19
2025-11-03,342184.55
2025-11-04,343949.06
2025-11-05,345202.67
2025-11-06,331769.62
2025-11-07,370681.53
2025-11-08,386804.46
2025-11-09,374495.61
2025-11-10,321769.02
2025-11-11,323767.22
2025-11-12,326626.04
2025-11-13,343921.51
2025-11-14,379964.09
2025-11-15,386843.42
2025-11-16,373736.35
2025-11-17,341074.77
2025-11-18,346991.34
2025-11-19,336087.07
2025-11-20,345598.46
2025-11-21,372494.86
2025-11-22,376404.97
2025-11-23,376507.19
2025-11-24,327067.1
2025-11-25,347592.64
2025-11-26,336450.52
2025-11-27,342570.19
2025-11-28,388528.6
2025-11-29,388459.8
2025-11-30,391430.17
2025-12-01,342610.11
2025-12-02,339060.96
2025-12-03,343534.66
2025-12-04,324596.08
2025-12-05,367833.56
2025-12-06,369683.27
2025-12-07,373947.33
2025-12-08,351072.0
2025-12-09,335771.11
2025-12-10,342462.72
2025-12-11,362956.81
2025-12-12,443457.81
2025-12-13,396951.52
2025-12-14,377267.64
2025-12-15,346376.82
2025-12-16,337814.06
2025-12-17,345519.32
2025-12-18,360045.89
2025-12-19,369609.83
2025-12-20,395927.16
2025-12-21,393944.17
2025-12-22,429339.58
2025-12-23,419495.42
2025-12-24,438093.04
2025-12-25,431253.5
2025-12-26,480779.92
2025-12-27,478630.83
2025-12-28,497971.08
2025-12-29,436258.83
2025-12-30,427230.67
2025-12-31,442045.59
2026-01-01,427980.4
2026-01-02,482032.27
2026-01-03,406124.77
2026-01-04,400767.08
2026-01-05,374425.15
2026-01-06,342980.86
2026-01-07,349949.05
2026-01-08,346886.67
2026-01-09,393706.77
2026-01-10,382242.48
2026-01-11,406761.98
2026-01-12,356850.13
2026-01-13,342242.84
2026-01-14,348080.3
2026-01-15,364403.09
2026-01-16,411070.98
2026-01-17,425345.57
2026-01-18,436721.2
2026-01-19,367096.47
2026-01-20,350616.38
2026-01-21,337272.06
2026-01-22,366433.36
2026-01-23,393828.11
2026-01-24,398959.97
2026-01-25,396958.18
2026-01-26,362971.08
2026-01-27,377807.64
2026-01-28,367253.78
2026-01-29,363816.85
2026-01-30,393641.76
2026-01-31,386320.36
2026-02-01,400925.55
2026-02-02,366458.23
2026-02-03,388658.77
2026-02-04,369344.44
2026-02-05,379909.04
2026-02-06,402457.06
2026-02-07,394559.09
2026-02-08,397524.12
2026-02-09,360727.16
2026-02-10,395293.04
2026-02-11,360213.41
2026-02-12,380447.64
2026-02-13,399863.37
2026-02-14,422187.04
2026-02-15,415934.15
2026-02-16,369738.5
2026-02-17,371429.21
2026-02-18,364357.85
2026-02-19,377861.8
2026-02-20,407339.4
2026-02-21,398378.78
2026-02-22,398034.19
2026-02-23,375720.38
2026-02-24,392874.74
2026-02-25,376118.27
2026-02-26,373043.79
2026-02-27,418162.76
2026-02-28,430666.53
2026-03-01,417884.99
2026-03-02,370575.35
2026-03-03,389032.18
2026-03-04,381148.14
2026-03-05,394674.55
2026-03-06,418682.76
2026-03-07,402024.79
2026-03-08,400530.96
2026-03-09,396986.4
2026-03-10,398081.56
2026-03-11,375461.54
2026-03-12,373231.57
2026-03-13,435577.02
2026-03-14,404960.82
2026-03-15,407710.11
2026-03-16,386363.97
2026-03-17,374101.74
2026-03-18,378964.21
2026-03-19,377248.72
2026-03-20,423440.97
2026-03-21,436455.55
2026-03-22,420824.13
2026-03-23,387631.36
2026-03-24,355464.62
2026-03-25,379640.26
2026-03-26,370259.92
2026-03-27,405902.31
2026-03-28,410135.2
2026-03-29,416804.08
2026-03-30,391940.5
2026-03-31,365164.63
2026-04-01,381576.15
2026-04-02,375521.34
2026-04-03,482517.65
2026-04-04,498596.74
2026-04-05,493130.51
2026-04-06,462826.96
2026-04-07,380024.75
2026-04-08,373623.72
2026-04-09,379380.52
2026-04-10,425064.2
2026-04-11,424356.13
2026-04-12,409303.23
2026-04-13,383476.04
2026-04-14,385198.82
2026-04-15,412735.36
2026-04-16,405109.08
2026-04-17,412405.0
2026-04-18,419248.02
2026-04-19,405183.76
2026-04-20,375700.79
2026-04-21,386616.53
2026-04-22,397335.32
2026-04-23,374147.72
2026-04-24,415074.48
2026-04-25,397180.18
2026-04-26,421014.99
2026-04-27,370233.3
2026-04-28,376640.27
2026-04-29,372478.52
2026-04-30,381873.05
2026-05-01,441910.9
2026-05-02,405394.67
2026-05-03,448541.92
2026-05-04,367529.82
2026-05-05,369801.65
2026-05-06,404986.52
2026-05-07,417781.16
2026-05-08,408834.73
2026-05-09,418444.13
2026-05-10,426927.83
2026-05-11,403536.1
2026-05-12,370908.56
2026-05-13,379763.23
2026-05-14,391986.99
2026-05-15,427825.21
2026-05-16,418039.98
2026-05-17,420890.63
2026-05-18,365937.26
2026-05-19,379514.35
2026-05-20,379109.19
2026-05-21,385022.31
2026-05-22,415499.86
2026-05-23,427746.91
2026-05-24,434162.9
2026-05-25,383794.59
2026-05-26,386066.96
2026-05-27,382397.58
2026-05-28,381672.01
2026-05-29,412921.09
2026-05-30,425284.09
2026-05-31,420222.72
2026-06-01,456409.88
2026-06-02,400071.59
2026-06-03,385718.8
2026-06-04,371827.16
2026-06-05,407528.09
2026-06-06,435061.96
2026-06-07,423810.56
2026-06-08,386306.78
2026-06-09,359495.77
2026-06-10,391444.12
2026-06-11,385650.35
2026-06-12,406753.04
2026-06-13,414299.34
2026-06-14,423000.28
2026-06-15,380341.99
2026-06-16,376081.79
2026-06-17,378220.26
2026-06-18,376311.56
2026-06-19,421038.18
2026-06-20,436736.52
2026-06-21,388149.02
2026-06-22,375976.22
2026-06-23,380805.34
2026-06-24,382107.22
2026-06-25,373959.85
2026-06-26,397209.19
2026-06-27,422092.39
2026-06-28,438750.89
2026-06-29,359482.32
2026-06-30,388120.36
2026-07-01,373677.76
2026-07-02,376749.76
2026-07-03,404716.49
2026-07-04,413203.53
2026-07-05,432683.45
2026-07-06,383940.94
2026-07-07,397603.32
2026-07-08,390811.43
2026-07-09,381818.93
2026-07-10,437345.06
2026-07-11,421554.35
2026-07-12,426091.6
2026-07-13,372466.99
2026-07-14,376695.35
2026-07-15,367399.61
2026-07-16,387516.61
2026-07-17,401375.95
2026-07-18,424778.96
2026-07-19,412979.33
2026-07-20,389199.8
2026-07-21,384034.34
2026-07-22,396752.2
2026-07-23,383555.79
2026-07-24,395805.66
2026-07-25,413752.02
2026-07-26,400378.42
2026-07-27,368112.01
2026-07-28,392356.84
2026-07-29,381765.19
2026-07-30,365622.31
2026-07-31,401741.65
2026-08-01,414198.56
2026-08-02,399107.6
2026-08-03,365556.06
2026-08-04,377259.62
2026-08-05,387287.43
2026-08-06,380639.48
2026-08-07,385752.06
2026-08-08,416815.72
2026-08-09,413946.18
2026-08-10,377969.63
2026-08-11,392321.42
2026-08-12,348094.84
2026-08-13,365690.15
2026-08-14,419806.92
2026-08-15,393672.58
2026-08-16,430301.83
2026-08-17,376952.58
2026-08-18,382636.34
2026-08-19,365574.28
2026-08-20,382142.31
2026-08-21,425153.68
2026-08-22,415084.82
2026-08-23,415064.79
2026-08-24,375461.27
2026-08-25,361825.71
2026-08-26,370387.78
2026-08-27,370303.75
2026-08-28,416714.3
2026-08-29,424094.71
2026-08-30,399381.39
2026-08-31,370574.5
